u,v,diff_hour_00_jul,diff_hour_01_jul,diff_hour_02_jul,diff_hour_03_jul,diff_hour_04_jul,diff_hour_05_jul,diff_hour_06_jul,diff_hour_07_jul,diff_hour_08_jul,diff_hour_09_jul,diff_hour_10_jul,diff_hour_11_jul,diff_hour_12_jul,diff_hour_13_jul,diff_hour_14_jul,diff_hour_15_jul,diff_hour_16_jul,diff_hour_17_jul,diff_hour_18_jul,diff_hour_19_jul,diff_hour_20_jul,diff_hour_21_jul,diff_hour_22_jul,diff_hour_23_jul
794436,735703,233.9413198490964,234.57518079432725,234.8754219961202,234.9618701738258,234.7962622883738,233.5244197102012,228.73620229900015,224.83162246405576,225.42961006059411,225.70138863891094,223.84461292626597,221.7809550392826,220.75037292802838,220.06696718289058,218.6611202745367,216.60287018318223,218.25495460425205,220.8939525870219,222.8798978343265,224.94429896471928,226.9922299125659,229.04250256274537,230.95939872633076,232.75256799934658
794436,1394577,139.1001328774957,139.20821055018484,139.25940375049055,139.2741437623574,139.24590647313286,139.02904852201587,138.21262435512907,137.54686650308784,137.64882752185247,137.69516764810925,137.37857455424813,137.02670661960119,136.85098524579286,136.734459842244,136.4947532265339,136.14380735842278,136.42549917215356,136.87546657013738,137.21408396253494,137.5660786253208,137.91526500813336,138.26485066738056,138.59169471370618,138.89744246993467
794436,1613461,51.70354306308089,52.387061317385125,52.71082371931851,52.80404433490888,52.625462559813194,51.253982544640884,46.09065132703239,41.880182749258246,42.52501730036413,42.81808728804219,40.81584988362319,38.590522945585796,37.47920398690614,36.742259542840515,35.226277162403605,33.00678167218727,34.78829206172799,37.63403182194983,39.77555803332902,42.001686441218006,44.21005437576227,46.420947463974244,48.48801521641193,50.42166318823544
794436,1337200,108.32015072921688,109.32205996522693,109.79663476806091,109.93327866185362,109.67151135904243,107.66117954193089,100.09270685970988,93.92095163673325,94.86615783771325,95.29574333247211,92.36083978667844,89.09892893305954,87.46994430559322,86.38972232134316,84.16757720813862,80.91421416051384,83.52557340672095,87.696892798841,90.83596754458058,94.0990532022982,97.33610534566864,100.57685888950071,103.60679153516793,106.44115586993487
794436,492484,79.08157667822721,79.48467718717586,79.67561398831606,79.73059024879242,79.62527279168472,78.8164512442754,75.77140975696783,73.28831290340872,73.6685999463686,73.84143609294797,72.66062941854702,71.34825712175574,70.69286388971389,70.25825562782903,69.36421473680214,68.05528149898225,69.1059158312755,70.78417261294479,72.04712396837353,73.35996892687217,74.66233976006494,75.96619978644635,77.18523974301218,78.32559623921578
1394577,1492778,74.66811344268503,75.11210820616469,75.32241540742058,75.3829689696844,75.2669671328701,74.37609122557869,71.02213248593557,68.28712725592844,68.70599414382627,68.89636439223254,67.59576573637062,66.15025422106427,65.42837182055442,64.94967286543486,63.96493217386901,62.52320860757464,63.68042903154981,65.52894374759134,66.9200206028462,68.36605273104759,69.80054814152079,71.2366838227525,72.57939449954964,73.83543933594781
1394577,1337200,17.805491596213425,17.875596032552323,17.90880243275062,17.918363521529116,17.900047442032125,17.759382825091375,17.229810392516143,16.797967461462385,16.864104338498887,16.89416279877356,16.688805116269045,16.46056645595752,16.34658502429807,16.271000978752873,16.115515606400372,15.88787504330126,16.07059405761313,16.362464802251267,16.582108516238875,16.810429378586463,17.036928653924335,17.263686919381975,17.475693868349943,17.674016737254917
1492778,1757353,164.96784768769362,165.19568710579503,165.3036079064395,165.33468144496962,165.2751541866044,164.81799418154696,163.09688377567747,161.69339424975274,161.90833910012137,162.00602909601406,161.3386166278744,160.59684098186193,160.2264013289687,159.98075318094683,159.4754257208012,158.7355938907291,159.32943068724265,160.27801060731662,160.99185267777634,161.733895480406,162.4700181252541,163.2069824879914,163.8960050721373,164.54055439607848
1492778,1337200,68.56798056518933,68.90389765597988,69.06301165693004,69.10882520732702,69.02106065973726,68.34704270356283,65.80950813080652,63.7402607528406,64.05716662197383,64.20119674412331,63.21719118212251,62.12354760146311,61.577386574761576,61.215213023190856,60.470178947335114,59.37940124915187,60.25492985939624,61.65347717745398,62.70593664031127,63.799974105726804,64.88528313338745,65.97183315537197,66.98769978584347,67.93799686601315
1492778,344649,65.6624889689759,65.92830162342754,66.05420922417942,66.09046168579789,66.02101321770513,65.48765987847145,63.47969773829037,61.842293291378205,62.093062283474936,62.207033945349735,61.42838606585346,60.56298114550558,60.130801550463495,59.844212044437974,59.254663340934734,58.3915262058506,59.084335801783105,60.19101237520271,61.023828124072395,61.88954472714033,62.7483544794631,63.60814623598998,64.41200591749353,65.16398012875823
